"playlist_id","playlist_title","playlist_desc","published_at","channel_id","thumb_high","item_count"
"PLBcAa442MLAqzqkIQ4oGVZPfu_fpfaKyq","SƠN TÙNG M-TP | 7 Minute Stage","","2025-10-28T04:04:13.782788Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/FEmnnU-HhnQ/hqdefault.jpg","1"
"PLBcAa442MLAp6_ZPSCaq2jnbXuN38DtW8","Sơn Tùng M-TP | Live Stage","","2025-10-28T04:03:26.050768Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/img/no_thumbnail.jpg","0"
"PLBcAa442MLAphS6AxoUL3GmfcG8JRxf20","SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU","","2024-05-25T15:41:35.585403Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/abPmZCZZrFA/hqdefault.jpg","5"
"PLBcAa442MLApwqf4ZeQCurYFaDUEat3kI","SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI","“Chúng Ta Của Tương Lai” là phần tiếp nối của “Chúng Ta Của Hiện Tại”, tiếp tục phát triển kịch bản hấp dẫn được gợi mở từ phần mở đầu. “Chúng Ta Của Tương Lai” qua đó cũng là track thứ 2 nằm trong Album CHÚNG TA gồm tổng cộng 3 bài hát, là album phòng thu được Sơn Tùng M-TP đặt nhiều tâm huyết để hoàn thiện về phần âm nhạc lẫn hình ảnh.","2024-03-01T05:21:49.725916Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/IpDNg7Xj2R4/hqdefault.jpg","6"
"PLBcAa442MLArflQUrUOw5_wBYfXikH2Ff","BE THE SKY","MBB x JCB x SƠN TÙNG M-TP x BE THE SKY","2024-01-18T09:45:21.786952Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/img/no_thumbnail.jpg","0"
"PLBcAa442MLArLLRO3XjO9CnqdTU99V5a6","SƠN TÙNG M-TP | NƠI NÀY CÓ ANH","","2023-09-20T07:20:49.41574Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/Hrv_p8CJYro/hqdefault.jpg","3"
"PLBcAa442MLArgE7xsH2igJwI2Hcsbyk3h","SƠN TÙNG M-TP | MAKING MY WAY","Pre-save MAKING MY WAY right here: https://orcd.co/stmtp-mmw 👈🏼👈🏼👈🏼✨✨✨","2023-04-29T04:57:55.179036Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/niPkap1ozUA/hqdefault.jpg","3"
"PLBcAa442MLArUZuKY29nwsXj39mt3FL5W","SKY DECADE","'SKY DECADE' kỉ niệm 10 năm debut của nghệ sĩ Sơn Tùng M-TP. Đây là món quà đặc biệt để tri ân cho tất cả khán giả đã cùng đồng hành với Tùng trong suốt hành trình nghệ thuật vừa qua.","2022-10-06T08:08:11.490548Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/HJiRzTmn5X4/hqdefault.jpg","15"
"PLBcAa442MLApT3Jds6ozsWz7EBwzkmSsN","SƠN TÙNG M-TP | THERE'S NO ONE AT ALL","","2022-04-23T15:41:17.767956Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/JHSRTU31T14/hqdefault.jpg","4"
"PLBcAa442MLAo3JL-XFkf5HW5dmVTf326X","SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN","","2021-04-13T13:04:06.979671Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/xOmLxNyXc6o/hqdefault.jpg","7"
"PLBcAa442MLArtUA0pGAfhvbEV7uBAxqZA","FREE FIRE x SƠN TÙNG M-TP","","2021-01-28T13:27:03.488187Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/kKL3x0W2GiQ/hqdefault.jpg","2"
"PLBcAa442MLAo1FmrCMeCD1f_EQQ546aMZ","SƠN TÙNG M-TP | LẠC TRÔI COMIC","","2021-01-03T17:08:52.10806Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/w7FQi95eVHQ/hqdefault.jpg","44"
"PLBcAa442MLAoUTD2nvYpxsTZdlFsBbBGA","SƠN TÙNG M-TP | CHÚNG TA CỦA HIỆN TẠI","","2020-12-18T05:00:18.748972Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/psZ1g9fMfeo/hqdefault.jpg","5"
"PLBcAa442MLApVUjNGP6zk5u6PFBUT-5Dw","SƠN TÙNG M-TP | CÓ CHẮC YÊU LÀ ĐÂY","","2020-07-06T09:16:20.974001Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/EhJqekMVxTc/hqdefault.jpg","6"
"PLBcAa442MLAqQaCQQZVQDrAMKA8-e-8s3","Music Videos","","2020-07-06T08:59:59.847286Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/6t-MjBazs3o/hqdefault.jpg","6"
"PLBcAa442MLArfS35ngfxwQUXYb3ixf0VG","SKY TOUR MOVIE | SƠN TÙNG M-TP","","2020-06-03T13:31:10.104466Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/hZqGbP817TQ/hqdefault.jpg","4"
"PLBcAa442MLApeCFys1oCTGScpBElaT9eL","SƠN TÙNG M-TP x BITI’S HUNTER x NGUYỄN QUANG DŨNG","","2018-08-06T08:43:05.866752Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/_wqc9n2cYYc/hqdefault.jpg","1"
"PLBcAa442MLAp2Pg5g1KRutINpmJF2wXEC","Liveshow M-TP Ambition ""Chuyến Bay Đầu Tiên""","","2018-08-01T08:17:28.145919Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/9QxtMGSswqA/hqdefault.jpg","6"
"PLBcAa442MLArLOVY_M4j_R_NwA2Gv21Rp","CHẠY NGAY ĐI | SƠN TÙNG M-TP","#ChayNgayDi #RunNow #เรียกใช้เดี๋ยวนี้ #MTPEntertainment","2018-05-02T11:14:56.934055Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/mT4arhSPIDU/hqdefault.jpg","8"
"PLBcAa442MLAoxhIWkWAvnNo6yRuGB3uIt","Chạm Tới Giấc Mơ | Sơn Tùng M-TP 2017","","2017-09-29T03:01:45.896101Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/IH2RLeu-VpM/hqdefault.jpg","3"
"PLBcAa442MLArA5s6qWibG6TpEonVQp11b","Trực Tiếp: Họp Báo Ra Mắt Dự Án Âm Nhạc Lạc Trôi Và Mini Concert Sơn Tùng M-TP","","2016-12-29T09:35:22.279113Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/HZaShvbm8Q0/hqdefault.jpg","9"
"PLBcAa442MLAq32pwoXcIpBwbzlXnee7QJ","Lạc Trôi | Sơn Tùng MTP","","2016-12-16T16:57:51.174014Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/HZaShvbm8Q0/hqdefault.jpg","5"
"PLBcAa442MLAo9uhMRPazrSXlDNe2_mcO3","Hãy Trao Cho Anh Và Những Video Mới Nhất Của Sơn Tùng M-TP","Hãy Trao Cho Anh Và Những Video Mới Nhất Của Sơn Tùng M-TP","2016-12-12T08:34:38.247305Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/ivF9YQ4f4DA/hqdefault.jpg","32"
"PLBcAa442MLApMe_h-8cV-lFnTKmwEjTK8","Buông đôi tay nhau ra | M-TP","","2016-08-30T07:15:02.606485Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/LCyo565N_5w/hqdefault.jpg","5"
"PLBcAa442MLApZEMWZXFLX22ST5-Fpsfoi","Chúng Ta Không Thuộc Về Nhau | Sơn Tùng M-TP","Ca khúc và M.V sẽ được phát hành chính thức vào lúc 00:00 ngày 03/08/2016 Bản quyền thuộc sở hữu của công ty Wepro Entertainment Copyright © 2016 Wepro Entertainment Vui lòng không đăng tải lại dưới bất kì hình thức nào. Được thực hiện bởi / Video made by Sáng tác / Composer: Son Tung M-TP Đạo diễn / Director: Dinh Ha Uyen Thu Hoạ sĩ thiết kế / Production designer: Do Ba Ty Giám đốc hình ảnh / D.O.P: Tung Bui Hậu kỳ / Post production: MR.BLUE Giám đốc sản xuất / Executive Producer: Nguyen Quang Huy Nhãn hàng Trà Xanh Không Độ thuộc tập đoàn Tân Hiệp Phát hân hạnh đồng hành cùng Sơn Tùng M-TP trong dự án Chúng Ta Không Thuộc Về Nhau.","2016-07-26T11:04:59.738929Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/qGRU3sRbaYw/hqdefault.jpg","3"
"PLBcAa442MLAofuxthvs9fmmfCPUUy5Dal","Fanmeeting | Sơn Tùng M-TP","Chúng Ta Không Thuộc Về Nhau | Teaser Music Video | Sơn Tùng M-TP Ca khúc được phát hành chính thức vào lúc 00:00 ngày 03/08/2016","2016-02-01T07:39:40.273317Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/M6M_AWcAFEw/hqdefault.jpg","4"
"PLBcAa442MLAoUXB3XQZJwbwgfQMuF4sXJ","Fancam - Stage Version","","2016-02-01T07:38:00.100891Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/KY4uVGK7YOA/hqdefault.jpg","8"
"PLBcAa442MLAouFi0ykgHkS9th8EOQV4xo","M-TP | MỘT NĂM MỚI BÌNH AN","","2016-01-24T15:36:54.942554Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/Thf6-faRGI4/hqdefault.jpg","2"
"PLBcAa442MLAoirqiBI6Efk785mlKDfu9d","M-TP | Âm Thầm Bên Em","Chúng Ta Không Thuộc Về Nhau | Teaser Music Video | Sơn Tùng M-TP Ca khúc được phát hành chính thức vào lúc 00:00 ngày 03/08/2016","2015-08-04T09:18:39.97426Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/30KI5SuECuc/hqdefault.jpg","6"
"PLBcAa442MLAqlvBrssYTGSYwLACwoGfSl","M-TP Viral Video","Tổng hợp TVC chính thức của nghệ sĩ Sơn Tùng M-TP Nghệ sĩ trực thuộc công ty M-TP Entertainment","2015-07-13T03:49:26.867021Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/Hwqp66yZrlI/hqdefault.jpg","16"
"PLBcAa442MLAqhzw_-XVcHK5tm6cBDi_oq","M-TP & FRIENDS 2015","ĐẠI TIỆC ÂM NHẠC NGOÀI TRỜI MỪNG SINH NHẬT SƠN TÙNG M-TP 2015 Thời gian: Chủ nhật, 31/05/2015 từ lúc 18 giờ","2015-05-21T02:32:00.26839Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/19JlMe6Pb94/hqdefault.jpg","4"
"PLBcAa442MLAqDH4kTPuMd1DYz-raNYPXQ","MÓN QUÀ ĐẶC BIỆT CỦA M-TP 2015","","2015-04-23T15:11:03.46919Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/-MP8mIUwx_A/hqdefault.jpg","3"
"PLBcAa442MLAoMwxVjUYB8l7MD3yFWK4WZ","M-TP Music Videos","#sontungmtp #sontung #mtp #mtpentertainment","2015-01-26T02:43:04.100361Z","UClyA28-01x4z60eWQ2kiNbA","https://i.ytimg.com/vi/6t-MjBazs3o/hqdefault.jpg","9"
